Rate Plan	Pws cost	New Cost
Mike Bae VF Test	1.94	
Mike Bae SWI Test	0	
Mike Bae Telus Test	0	
RIS VF 1GB	3.64	
RonChilton :: VZWPubStatic :: 20GB	96	48.65
Richard Roberts-VZW-PUBS-20GB	96	48.65
Marathon Coach-VZW-PUBS-20GB	96	48.65
Johnny Gray-VZW-PUBS-20GB	96	48.65
Mike Case-VZW-PUBS-20GB	96	48.65
Starship TMO 20GB	90	
Starship TMO 5GB	35	
Country Agency-VZW-PUBS-20GB	96	48.65
Buchanan Investments-VZW-PUBD-20GB 	96	48.65
iBeat SWI Demo	0.28	
Elizabeth Casto-VZW-PUBS-20GB	96	48.65
Infoworks-VZW-PUBS-20GB	96	48.65
Direct Importing Company-VZW-PUBD-20GB	96	48.65
Pioneer Fire Inc-VZW-PUBD-20GB	96	48.65
Corfini Gourmet-VZW-PUBD-20GB	96	48.65
Chris Blackburn-VZW-PUBS-20GB	96	48.65
Electro-Motion-VZW-PUBS-20GB	96	48.65
Larry Burton(Marathon)-VZW-PUBS-20GB	96	48.65
Halo Branded Solutions-VZW-PUBD-20GB	96	48.65
Parcel Pending ATT Demo	8	
8minutenergy US Solar-VZW-PUBS-20GB	96	48.65
Don Pruter-VZW-PUBS-20GB	96	48.65
"Harger, Inc-VZW-PUBD-20GB"	96	48.65
Impulse Industries VDF 1GB DIA Demo	125	
DNV GL GreenPowerMonitor-VZW-PUBD-20GB	96	48.65
DMG M&E-VZW-PUBD-20GB :: 0712c76a-6c62-4bd1-9ffa-1ecb5850cab0	96	48.65
National Home Health Services-VZW-PUBD-20GB	96	48.65
ICU Tech ATT Demo	8	
Winsor Consulting Group-VZW-PUBS-20GB	96	48.65
Swiftmile-VZW-PUBD-20GB :: 62554d5a-73c5-4fd8-a2b2-d593c7aa8f3d	96	48.65
Hollywood ATT 10GB	50	
Hollywood Riviera TMO 10GB	50	
Alan Sefton-VZW-PUBS-20GB	96	48.65
Carbon Health Medical Group-VZW-PUBD-25GB	100.25	60.75
Starship Technologies :: VZWPublic :: (686) :: 15 GB	72	36.55
Motiv VZW Public Dynamic 15GB	72	36.55
Greenlots TMO 2GB :: 171c1c99-bc6d-401c-be39-dec4ef4fcf2f	14	
Greenlots-TMO-PUBS-200MB :: ce051fe5-225b-471b-8644-7482c0183324	2.5	
Phil Young-VZW-PUBS-20GB	81	48.65
Greenlots TMO 300MB :: 70c09eb1-945d-4a19-b4fd-1e86b5c305eb	3.5	
Greenlots TMO 5GB :: 550e7d3c-c5a7-46f0-807e-609d75537103	35	
Jennifer Joyce-VZW-PUBS-20GB	81	48.65
Terrace Apartments-VZW-PUBD-20GB	81	48.65
Greenlots AT&T Demo plan :: c7962b9c-557d-422b-b940-0945803bd44d	8	
Neil Hurley-VZW-PUBD-20GB	80.25	48.65
Graymont Medical-VZW-PUBD-20GB	80.25	48.65
John Ross-Svobodn-VZW-PUBS-20GB	80.25	48.65
Siden Inc-VZW-PUBD-20GB	80.25	48.65
NuOz ATT 1GB	8	
NuOz TMO 1GB	7	
NLD Rocklin-VZW-PUBS-20GB	80.25	48.65
Serve Robotics-VZW-PUBD-20GB	80.25	48.65
FCA LLC-VZW-PUBS-20GB	80.25	48.65
Jackrabbit-VZW-PUBS-20GB	80.25	48.65
Conference Technologies-VZW-PUBS-20GB	80.25	48.65
Bullpen Tournaments-VZW-PUBD-20GB	80.25	48.65
Bryan Peck-VZW-PUBS-20GB	80.25	48.65
Engie - Opterra ATT 250MB	5.5	
Engie - Opterra TMO PPU	0.5	
One Medical-VZW-PUBS-20GB	80.25	48.65
Viasat VF 5GB	67.15	
Compusystems-VZW-PUBS-20GB	80.25	48.65
Mark Judge (Marathon)-VZW-PUBS-20GB	80.25	48.65
Canyon Hills Presbyterian Church-NSA-VZW-PUBD-20GB	80.25	48.65
Megger SWI Demo	0.28	
Telegnos SWI Demo	0.28	
Telegnos VF Demo	0.58	
Indiana Golf Car-VZW-PUBS-20GB	80.25	48.65
Citrix ATT Demo	8	
CITRIX VF Demo	17.24	
Jeremy McNeil (Marathon)-VZW-PUBS-20GB	80.25	48.65
Neal Nowe (Marathon)-VZW-PUBS-20GB	80.25	48.65
Meridian Utility-VZW-PUBD-20GB	80.25	48.65
"Aircraft Holding & Leasing, LLC-VZW-PUBS-20GB"	80.25	48.65
Schwazze-VZW-PUBD-20GB	80.25	48.65
Automotion ATT DEMO	8	
Automotion AT&T 5GB 	30	
"Kodiak Robotics, Inc.-VZW-PN-20GB"	80.25	48.65
Cirrus ATT Demo	8	
Coast Counties Truck & Equipment Co-VZW-PUBS-20GB	80.25	48.65
Daintree-VZW-PUBS-8GB	48.6	19.61
IP Source :: VZWPublic :: (131) :: 10 GB	51	24.45
Creative Coach :: VZWPublic :: (186) :: 10 GB	51	24.45
Tetratech :: VZW Public :: 10GB	51	24.45
Prescient :: VZWPublic :: (298) :: 10 GB	51	24.45
LAUSD VZW 10GB :: 8f9c77d3-9c62-4173-a259-627adcffb6aa	51	24.45
CannaGuard VZW 10GB :: 7e95b59c-4608-4b80-b892-a0e8c06e3dad	51	24.45
SonDi 10GB VZW :: 7ed2aacc-de88-4c67-a75e-1b65a743a31f	51	24.45
Vsblty::VZWPublic::10Gb	51	24.45
Parcel Pending VZW 10GB	51	24.45
Citrix VZW 10GB	51	24.45
BEST EVENTS :: VZWPublic :: (489) :: 10 GB	51	24.45
COMMUNITYBANK :: VZWPublic :: (319) :: 10 GB	51	24.45
DMG-BOFA-VZW-PUBS-10GB10 GB :: 4f1cb54b-36b0-4d61-b88e-4d75c3396496	51	24.45
DMG-BARCO-VZW-PUBS-10GB :: e7fabd09-e75b-4326-a514-69a76c352271	51	24.45
GATEWAY GLOBAL :: VZWPublic :: (346) :: 10 GB	51	24.45
IDEN DEALER :: VZWPublic :: (662) :: 10 GB	51	24.45
PRIMED :: VZWPublic :: (543) :: 10 GB	51	24.45
PUGETSOUND :: VZWPublic :: (21) :: 10 GB	51	24.45
SHAVER TRANS :: VZWPublic :: (530) :: 10 GB	51	24.45
UNITEDOIL :: VZWPublic :: (157) :: 10 GB	51	24.45
V5 SYSTEMS :: VZWPublic :: (354) :: 10 GB :: ebc91c7a-451f-45e2-a03c-b87a36e06451	51	24.45
VIVID HOSTING :: VZWPublic :: (501) :: 10 GB	51	24.45
Doorbird VZW 10GB :: 752ed2da-e84e-46b9-91aa-a762a49fdfd5	51	24.45
Corporate IT Solutions :: VZWPublic :: (104) :: 10 GB	51	24.45
Microspace Communications (10GB) :: VZWPublic :: (508) :: 10 GB	51	24.45
Daintree-DEMO-VF-PN-750MB	0	
TWILIO :: VZWPublic :: (567) :: 10 GB	51	24.45
Foothill VZW 10GB :: 9841d737-5807-4ec8-bb17-a2469ae4e64c	51	24.45
Daintree-DEMO-TELUS-PN-1GB	13.5	
Fazoli VZW 10GB :: 24e6abd0-bbfd-4eee-bdcb-6ce7e9bdaac2	51	24.45
Fazoli's System Management :: VZWPublic :: (676) :: 10 GB	51	24.45
LAUSD (public) :: VZWPublic :: (152) :: 10 GB	51	24.45
Augmedix VZW DIA 10GB	51	24.45
Bandit :: VZW Public Static :: 10GB	51	24.45
Marathon Coach-VZW-PUBS-10GB-OLD	51	24.45
Zenspace VZW 10GB OPEN DIA	51	24.45
Jeff Greischar (Marathon) :: VZWPublic :: (739) :: 10 GB	51	24.45
Ecam Secure-VZW-PUBS-10GB	51	24.45
Bernie Vujicic (Marathon)-NSA-VZW-PUBS-10GB	51	24.45
Clear-Com::VZWPublic::10GB	51	24.45
Stanley Neal (Marathon)::VZWPUBLIC STATIC::10GB	51	24.45
E2 Optics VZW 10GB :: Public Static ::	51	24.45
Murray Sieleski (Marathon) :: VZW Public Static :: 10GB	51	24.45
Clarence Worley (Marathon) VZW 10GB	51	24.45
Cleaver Brooks VZW DIA 10GB	51	24.45
Bruce Box (Marathon) VZW 10GB :: Public Static ::	51	24.45
Patrick Berschauer (Marathon) 10GB :: Public Static ::	51	24.45
Kathy Fields (Marathon) 10GB :: Public Static ::	51	24.45
Jim Grossen (Marathon) VZW 10 GB :: Public Static ::	51	24.45
James_Vangilder :: VZWPublicStatic :: 10GB	51	24.45
DMG-WESTROCK-VZW-PUBS-10GB :: 80d61f3e-3447-40ca-81a3-28e0b72b6783	51	24.45
Mob Scene VZW 10GB :: Public Static ::	51	24.45
ANICO (Colliers) VZWPublicStatic 10GB	51	24.45
DMG-CVS-VZW-PUBS-10GB  :: eb956363-2c47-46b5-9fea-1d4e1d603d50	51	24.45
Phantom Auto VZW :: Public Dynamic :: 10GB	51	24.45
Bob Lanphere (Marathon) VZW :: Public Static :: 10GB	51	24.45
Kodiak VZW Private 10GB	51	24.45
Bay City Bike :: VZWPublicStatic :: 10GB	51	24.45
Zenners Sausage Co. VZW :: Public Dynamic :: 10GB	51	24.45
MICHAELMOYA :: VZW Public Dynamic :: 10GB	51	24.45
DMG-MITSUBISHI-VZW-PUBS-10GB :: ad171b98-d702-4550-b7a4-e8abc73aabb5	51	24.45
M. O. Dion & Sons VZW :: Public Dynamic :: 10GB	51	24.45
Newsom Baker :: VZWPublicStatic :: 10GB	51	24.45
JPM Team (Marathon) VZW :: Public Dynamic :: 10GB	51	24.45
Gentrifi ATT CATM1 1GB demo	8	
Ken Catchot :: VZW Public Static :: 10GB	51	24.45
Riivet-VZW-PUBD-10GB	51	24.45
Absco :: VZW Public Static :: 10GB	51	24.45
Farm from a Box :: VZWPublic :: 10 GB	51	24.45
Federal Warehouse-VZW-PUBD-10GB	51	24.45
Country Agency-VZW-PUBD-10GB	51	24.45
"Tim Kezman (Marathon) :: VZW-PubStatic :: 10GB	"	51	24.45
Marathon Coach-VZW-PUBS-10GB :: 67844a97-535a-4a5d-b611-435546978f95	51	24.45
Bill Einhellig-VZW-PUBS-10GB	51	24.45
Dental Arts Laboratories-VZW-PUBS-10GB	51	24.45
RFI Enterprises Inc-VZW-PUBS-10GB	51	24.45
Ghost Zero-VZW-PUBS-10GB	51	24.45
Country Agency-VZW-PUBS-10GB	51	24.45
Eric Jones Racing-VZW-PUBS-10GB	51	24.45
Protrionix Technologies-VZW-PUBS-10GB	51	24.45
Direct Importing Company-VZW-PUBD-10GB	51	24.45
Intellectual Technology-VZW-PUBS-10GB	51	24.45
DNI	0	
The Diverse Youth Foundation-VZW-PUBD-10GB	51	24.45
Rich Santefort (Marathon)-VZW-PUBS-10GB	51	24.45
IDEN TMO 20GB	90	
Joseph Lucrarelli-VZW-PUBS-10GB	51	24.45
WaterTechonics-VZW-PUBS-10GB	51	24.45
Renewable America-VZW-PUBS-10GB	51	24.45
Companion Labs-DEMO-VZW-PUBD-1GB	25	2.67
R_Zero Systems-DEMO-VZW-PUBD-1GB :: 3fc9eaa2-5810-4bf7-ae20-7f7f6c84daf9	25	2.67
Growing Energy Labs-DEMO-VZW-PUBD-1GB	25	2.67
Shield AI-VZW-PUBD-1GB-DEMO	25	2.67
New Logic Design-DEMO-VZW-PUBD-1GB	25	2.67
Domico Software-DEMO-VZW-PUBS-1GB :: 0ec40a4c-2f1a-4f2c-9398-28d6ef0a531a	25	2.67
Olyns-DEMO-VZW-PUBS-1GB	25	2.67
Portl-DEMO-VZW-PN-1GB	25	2.67
Sentinel Systems-DEMO-VZW-PUBD-1GB	25	2.67
Beam Live-DEMO-VZW-PUBD-1GB	25	2.67
Compusystems-DEMO-VZW-PUBD-1GB :: 3d8b10f2-bbab-4778-b63c-d4f66e3f8495	25	2.67
Seafia Inc-DEMO-VZW-PUBD-1GB	25	2.67
Bloom Energy-DEMO-VZW-PN-1GB	25	2.67
 Barbary Partners LLC-DEMO-VZW-1GB-	25	2.67
S&M Moving-DEMO-VZW-PUBD-1GB	25	2.67
Future Energy Group-DEMO-VZW-PUBS-1GB	25	2.67
"LiveBarn, Inc-DEMO-VZW-PUBD-1GB :: f7c1818e-4f0b-4c53-987c-a70fe3e4c659"	25	2.67
Farm-ng Inc-DEMO-VZW-PUBS-1GB	25	2.67
Coast Counties Truck & Equipment Co-DEMO-VZW-PUBS-1GB	25	2.67
Peak Alarm Company-DEMO-VZW-PUBS-1GB	25	2.67
MBK Real Estate Companies LLC-DEMO-VZW-PUBD-1GB	25	2.67
Municon West Coast-DEMO-VZW-PUBD-1GB	25	2.67
"MDG Connected Solutions, Inc-DEMO-VZW-PUBD-1GB :: 36206da9-e8c9-477c-8de5-9eb142dd30bd"	25	2.67
Midwest PMS-DEMO-VZW-PUBD-1GB	25	2.67
Viptela :: VZWPublic :: (201) :: 5 GB	34	12.35
SmartSource Inc. :: VZWPublic :: (59) :: 5 GB	34	12.35
Meridian Zero :: VZWPublic :: (119) :: 5 GB	34	12.35
Petasense VZW 5GB	34	12.35
Jake Panzeri VZW 5GB :: 3c7c8175-dad2-4270-bc46-14d39827170a	34	12.35
Ventek VZW 5GB :: 96d92fc0-975c-4d2f-95b4-382425a1d743	34	12.35
SonDi 5GB VZW :: 61036b6e-d482-42f1-99f0-e3c09e0e0dd2	34	12.35
Solar City VZW 5GB	34	12.35
Starship Technologies VZW 5GB :: Public Dynamic ::	34	12.35
Greenlots VZW 5GB :: ed36ad73-4b30-45b7-98ef-389979acbea1	34	12.35
Greenlots :: VZWPublic :: (561) :: 5 GB :: aa10acef-a414-4d1b-b6b8-87cf3bbfdc63	34	12.35
ASBURYENVIRO :: VZWPublic :: (101) :: 5 GB	34	12.35
