timestamp,deletions,insertions,reads,updates
1596278403,882516938,927819135,8231550945,6419789254
1596278404,882516938,927819146,8231551186,6419789495
1596278405,882516938,927819154,8231551434,6419789743
1596278406,882516938,927819159,8231551679,6419789988
1596278407,882516938,927819175,8231551924,6419790233
1596278408,882516938,927819202,8231552177,6419790486
1596278409,882516938,927819221,8231552425,6419790734
1596278410,882516938,927819231,8231552756,6419791065
1596278411,882516938,927819247,8231553237,6419791546
1596278412,882516939,927819257,8231553682,6419791990
1596278413,882516940,927819278,8231554120,6419792427
1596278414,882516942,927819304,8231554488,6419792793
1596278415,882516944,927819328,8231554756,6419793059
1596278416,882516944,927819341,8231555013,6419793316
1596278417,882516947,927819367,8231555265,6419793565
1596278418,882516948,927819392,8231555515,6419793814
1596278419,882516950,927819407,8231555766,6419794063
1596278421,882516950,927819418,8231555988,6419794285
1596278422,882516953,927819433,8231556361,6419794655
1596278423,882516955,927819452,8231556599,6419794891
1596278424,882516956,927819471,8231556835,6419795126
1596278425,882516956,927819501,8231557076,6419795367
1596278426,882516959,927819516,8231557312,6419795600
1596278427,882516960,927819542,8231557566,6419795853
1596278428,882516962,927819560,8231557985,6419796270
1596278429,882516963,927819581,8231558404,6419796688
1596278430,882516965,927819598,8231558838,6419797120
1596278431,882516966,927819619,8231559279,6419797560
1596278432,882516967,927819651,8231559714,6419797994
1596278433,882516968,927819674,8231560008,6419798287
1596278434,882516971,927819698,8231560256,6419798532
1596278435,882516972,927819717,8231560485,6419798760
1596278436,882516973,927819725,8231560737,6419799011
1596278437,882516974,927819743,8231560992,6419799265
1596278438,882516977,927819751,8231561243,6419799513
1596278439,882516978,927819760,8231561501,6419799770
1596278440,882516979,927819771,8231561749,6419800017
1596278441,882516980,927819787,8231562011,6419800278
1596278442,882516982,927819806,8231562268,6419800533
1596278443,882516984,927819826,8231562532,6419800795
1596278444,882516985,927819831,8231562781,6419801043
1596278445,882516987,927819837,8231563170,6419801430
1596278446,882516988,927819851,8231563601,6419801860
1596278447,882516989,927819857,8231564037,6419802295
1596278448,882516991,927819879,8231564294,6419802550
1596278449,882516993,927819897,8231564550,6419802804
1596278450,882516994,927819908,8231564794,6419803047
1596278451,882516995,927819914,8231565030,6419803282
1596278452,882516997,927819931,8231565286,6419803536
1596278453,882516999,927819945,8231565537,6419803785
1596278454,882517000,927819956,8231565786,6419804033
1596278455,882517001,927819973,8231566035,6419804281
1596278456,882517004,927819995,8231566280,6419804523
1596278457,882517004,927820013,8231566510,6419804753
1596278458,882517006,927820024,8231566754,6419804995
1596278459,882517006,927820027,8231567115,6419805356
1596278460,882517010,927820037,8231567559,6419805796
1596278461,882517010,927820294,8231567990,6419806227
1596278462,882517011,927820337,8231568421,6419806657
1596278463,882517012,927820365,8231568875,6419807110
1596278464,882517016,927820378,8231569311,6419807542
1596278465,882517016,927820383,8231569658,6419807889
1596278466,882517017,927820388,8231569897,6419808127
1596278467,882517018,927820627,8231570142,6419808371
1596278468,882517021,927820634,8231570396,6419808622
1596278469,882517022,927820649,8231570654,6419808879
1596278470,882517023,927820671,8231570927,6419809151
1596278471,882517024,927820683,8231571175,6419809398
1596278472,882517027,927820828,8231571440,6419809660
1596278473,882517027,927820934,8231571713,6419809933
1596278474,882517029,927820948,8231571960,6419810178
1596278475,882517030,927820970,8231572212,6419810429
1596278476,882517033,927820990,8231572459,6419810673
1596278477,882517033,927821057,8231572867,6419811081
1596278478,882517035,927821260,8231573253,6419811465
1596278479,882517037,927821276,8231573615,6419811825
1596278480,882517039,927821293,8231573944,6419812152
1596278481,882517039,927821312,8231574239,6419812447
1596278482,882517041,927821362,8231574507,6419812713
1596278483,882517042,927821416,8231574740,6419812945
1596278484,882517044,927821565,8231574997,6419813200
1596278485,882517045,927821584,8231575345,6419813547
1596278486,882517047,927821590,8231575619,6419813819
1596278487,882517048,927821601,8231575860,6419814059
1596278488,882517049,927821609,8231576123,6419814321
1596278489,882517053,927821621,8231576371,6419814565
1596278490,882517053,927821644,8231576630,6419814824
1596278491,882517054,927821660,8231576980,6419815173
1596278492,882517055,927821673,8231577367,6419815559
1596278493,882517058,927821683,8231577821,6419816010
1596278494,882517060,927821698,8231578249,6419816436
1596278495,882517060,927821717,8231578705,6419816892
1596278496,882517062,927821727,8231579167,6419817352
1596278497,882517065,927821743,8231579623,6419817805
1596278498,882517067,927821754,8231579951,6419818131
1596278499,882517068,927821760,8231580245,6419818424
1596278500,882517070,927821771,8231580504,6419818681
1596278501,882517072,927821794,8231580811,6419818986
1596278502,882517074,927821803,8231581067,6419819240
1596278503,882517074,927821813,8231581309,6419819482
1596278504,882517077,927821825,8231581551,6419819721
1596278505,882517079,927821835,8231581804,6419819972
1596278506,882517080,927821849,8231582048,6419820215
1596278507,882517080,927821854,8231582279,6419820446
1596278508,882517082,927821875,8231582546,6419820711
1596278509,882517085,927821875,8231582801,6419820963
1596278510,882517086,927821888,8231583103,6419821264
1596278511,882517087,927821910,8231583599,6419821759
1596278512,882517088,927821930,8231584014,6419822173
1596278513,882517090,927821938,8231584251,6419822408
1596278514,882517092,927821949,8231584607,6419822762
1596278515,882517093,927821960,8231584945,6419823099
1596278516,882517094,927821975,8231585297,6419823450
1596278517,882517095,927821980,8231585642,6419823794
1596278518,882517098,927821986,8231585945,6419824094
1596278519,882517099,927822000,8231586234,6419824382
1596278520,882517100,927822024,8231586510,6419824657
1596278521,882517101,927822047,8231586787,6419824933
1596278522,882517104,927822065,8231587048,6419825191
1596278523,882517104,927822080,8231587315,6419825458
1596278524,882517106,927822089,8231587671,6419825812
1596278525,882517106,927822094,8231588165,6419826306
1596278526,882517109,927822109,8231588750,6419826888
1596278527,882517110,927822122,8231589304,6419827441
1596278528,882517111,927822131,8231589853,6419827989
1596278529,882517112,927822140,8231590366,6419828501
1596278530,882517116,927822154,8231590862,6419828993
1596278531,882517121,927822171,8231591349,6419829475
1596278532,882517122,927822175,8231591720,6419829845
1596278533,882517123,927822192,8231592079,6419830203
1596278534,882517126,927822201,8231592435,6419830556
1596278535,882517126,927822214,8231592825,6419830946
1596278536,882517126,927822234,8231593208,6419831329
1596278537,882517126,927822243,8231593588,6419831709
1596278538,882517126,927822260,8231593997,6419832118
1596278539,882517126,927822270,8231594402,6419832523
1596278540,882517126,927822284,8231594863,6419832984
1596278541,882517126,927822297,8231595359,6419833480
1596278542,882517126,927822309,8231595863,6419833984
1596278543,882517126,927822321,8231596364,6419834485
1596278544,882517126,927822332,8231597009,6419835130
1596278545,882517126,927822351,8231597508,6419835629
1596278546,882517126,927822370,8231597980,6419836101
1596278547,882517126,927822380,8231598428,6419836549
1596278548,882517126,927822386,8231598699,6419836820
1596278549,882517126,927822396,8231598951,6419837072
1596278550,882517126,927822407,8231599192,6419837313
1596278551,882517126,927822416,8231599433,6419837554
1596278552,882517126,927822428,8231599669,6419837790
1596278553,882517126,927822444,8231599910,6419838031
1596278554,882517126,927822463,8231600143,6419838264
1596278555,882517126,927822487,8231600392,6419838513
1596278556,882517126,927822496,8231600616,6419838737
1596278557,882517126,927822504,8231600852,6419838973
1596278558,882517126,927822507,8231601243,6419839364
1596278559,882517126,927822517,8231601669,6419839790
1596278560,882517126,927822530,8231602103,6419840224
1596278561,882517126,927822543,8231602524,6419840645
1596278562,882517126,927822543,8231603066,6419841187
1596278563,882517126,927822551,8231603751,6419841872
1596278564,882517126,927822562,8231604307,6419842428
1596278565,882517126,927822575,8231604830,6419842951
1596278566,882517126,927822590,8231605333,6419843454
1596278567,882517126,927822603,8231605862,6419843983
1596278568,882517126,927822624,8231606306,6419844427
1596278569,882517126,927822643,8231606750,6419844871
1596278570,882517126,927822661,8231607192,6419845313
1596278571,882517126,927822676,8231607637,6419845758
1596278572,882517126,927822686,8231608077,6419846198
1596278573,882517126,927822705,8231608519,6419846640
1596278574,882517126,927822721,8231608958,6419847079
1596278575,882517126,927822731,8231609438,6419847559
1596278576,882517126,927822757,8231609967,6419848088
1596278577,882517126,927822766,8231610485,6419848606
1596278578,882517126,927822785,8231611023,6419849144
1596278579,882517126,927822798,8231611546,6419849667
1596278580,882517126,927822812,8231612031,6419850152
1596278581,882517126,927822827,8231612475,6419850596
1596278582,882517126,927822852,8231612919,6419851040
1596278583,882517126,927822875,8231613356,6419851477
1596278584,882517126,927822898,8231613799,6419851920
1596278585,882517126,927822909,8231614230,6419852351
1596278586,882517126,927822924,8231614679,6419852800
1596278587,882517126,927822927,8231615135,6419853256
1596278588,882517126,927822938,8231615594,6419853715
1596278589,882517126,927822946,8231616059,6419854180
1596278590,882517126,927822963,8231616511,6419854632
1596278591,882517126,927822976,8231616965,6419855086
1596278592,882517126,927822978,8231617554,6419855675
1596278593,882517126,927822988,8231618117,6419856238
1596278594,882517126,927822999,8231618674,6419856795
1596278595,882517126,927823005,8231619221,6419857342
1596278596,882517126,927823026,8231619798,6419857919
1596278597,882517126,927823036,8231620357,6419858478
1596278598,882517126,927823052,8231620896,6419859017
1596278599,882517126,927823074,8231621455,6419859575
1596278600,882517126,927823097,8231621936,6419860057
1596278601,882517126,927823104,8231622399,6419860520
