"PwsAccountNumberName","CustomerID","DateCreated","DatePosted","DateDue","Terms","BillTo","ShipTo","WebLink","FooterMemo","CustomerReference","ReferenceNumber","BillingPeriod","Element","Quantity","Rate","Amount","Memo","Class","AccountLabel"
"38647762-191916:AutoMotion Management","C-0107","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Automotion Management, LLC","SVCS_Automotion Management, LLC","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW SCHG-FEE","1","120.615891","120.615891","Private network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41104"
"38647762-191916:AutoMotion Management","C-0107","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Automotion Management, LLC","SVCS_Automotion Management, LLC","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","ATT 5 GB MRC","1.0","58.00","58.0","Private network: 2020/06/01 - 2020/06/30","ATT_100374402_PN--ATT Private","41102"
"38647762-191916:AutoMotion Management","C-0107","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Automotion Management, LLC","SVCS_Automotion Management, LLC","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","ATT SCHG-FEE","1","0.1102","0.1102","Private network: 2020/06/01 - 2020/06/30","ATT_100374402_PN--ATT Private","41104"
"38647762-191916:AutoMotion Management","C-0107","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Automotion Management, LLC","SVCS_Automotion Management, LLC","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","ATT 1 GB MRC","3.0","25.00","75.0","Private network: 2020/06/01 - 2020/06/30","ATT_100374402_PN--ATT Private","41102"
"38647762-191916:AutoMotion Management","C-0107","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Automotion Management, LLC","SVCS_Automotion Management, LLC","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","ATT 1 GB DATA-OVG","8","25.00","200.0","Private network: 2020/06/01 - 2020/06/30","ATT_100374402_PN--ATT Private","41103"
"38647762-191916:AutoMotion Management","C-0107","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Automotion Management, LLC","SVCS_Automotion Management, LLC","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","ATT SCHG-FEE","1","0.5225","0.5225","Private network: 2020/06/01 - 2020/06/30","ATT_100374402_PN--ATT Private","41104"
"38647762-191916:AutoMotion Management","C-0107","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Automotion Management, LLC","SVCS_Automotion Management, LLC","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-BIZ","1","29.00","29.0","Lattigo Management Portal - business","PLAT_SVC--Platform Services","41110"
"38647762-191916:AutoMotion Management","C-0107","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Automotion Management, LLC","SVCS_Automotion Management, LLC","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","PROMO-LATTIGO","1","-29.00","-29.0","Discount - Management Portal / API","PLAT_SVC--Platform Services","41110"
"18361417-570214:Cirrus Systems","C-0227","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Cirrus Systems","SVCS_Cirrus Systems","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-BIZ","1","29.00","29.0","Lattigo Management Portal - business","PLAT_SVC--Platform Services","41110"
"18361417-570214:Cirrus Systems","C-0227","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Cirrus Systems","SVCS_Cirrus Systems","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","PROMO-LATTIGO","1","-29.00","-29.0","Discount - Management Portal / API","PLAT_SVC--Platform Services","41110"
